Year,Reference area,Sex,COMPOSITE_BREAKDOWN,Value
2019,Batken,Female,Non-communicable disease: Chronic respiratory disease,9.209517
2020,Batken,Female,Non-communicable disease: Chronic respiratory disease,11.6
2007,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,29.554656
2008,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,31.415708
2009,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,27.389163
2010,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,26.992912
2011,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,20.374976
2012,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,21.022994
2013,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,17.1875
2014,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,22.866403
2015,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,20.363188
2016,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,15.894955
2017,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,16.021022
2018,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,16.216216
2019,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,15.734551
2020,Jalal-Abad,,Non-communicable disease: Chronic respiratory disease,17.7
2007,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,32.584497
2008,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,37.4
2009,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,29.139594
2010,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,30.261882
2011,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,23.500191
2012,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,24.170883
2013,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,20.905923
2014,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,24.950637
2015,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,22.651449
2016,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,17.365887
2017,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,17.36638
2018,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,18.019507
2019,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,17.984446
2020,Jalal-Abad,Male,Non-communicable disease: Chronic respiratory disease,19.4
2007,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,26.523588
2008,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,25.425425
2009,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,25.635969
2010,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,23.716952
2011,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,17.241379
2012,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,17.863859
2013,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,13.451262
2014,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,20.76937
2015,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,18.056293
2016,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,14.409722
2017,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,14.660757
2018,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,14.390897
2019,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,13.455858
2020,Jalal-Abad,Female,Non-communicable disease: Chronic respiratory disease,15.9
2007,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,91.683944
2008,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,91.429881
2009,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,73.265074
2010,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,70.219011
2011,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,62.962133
2012,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,67.672509
2013,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,51.535088
2014,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,46.183868
2015,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,40.899358
2016,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,45.838614
2017,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,43.759116
2018,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,34.539474
2019,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,38.344492
2020,Issyk-Kul,,Non-communicable disease: Chronic respiratory disease,35.1
2007,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,121.552127
2008,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,107.29215
2009,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,80.994017
2010,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,88.047445
2011,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,69.620253
2012,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,80.98434
2013,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,66.725586
2014,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,58.515284
2015,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,49.137931
2016,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,56.924384
2017,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,54.857621
2018,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,44.591247
2019,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,46.843177
2020,Issyk-Kul,Male,Non-communicable disease: Chronic respiratory disease,42.3
2007,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,62.6703
2008,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,75.983718
2009,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,65.706571
2010,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,52.749218
2011,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,56.419369
2012,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,54.577465
2013,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,36.569438
2014,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,34.022394
2015,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,32.765957
2016,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,34.87395
2017,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,32.766487
2018,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,24.570025
2019,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,29.911075
2020,Issyk-Kul,Female,Non-communicable disease: Chronic respiratory disease,27.9
2007,Naryn,,Non-communicable disease: Chronic respiratory disease,105.79541
2008,Naryn,,Non-communicable disease: Chronic respiratory disease,101.905873
2009,Naryn,,Non-communicable disease: Chronic respiratory disease,88.656601
2010,Naryn,,Non-communicable disease: Chronic respiratory disease,83.62102
2011,Naryn,,Non-communicable disease: Chronic respiratory disease,78.528073
2012,Naryn,,Non-communicable disease: Chronic respiratory disease,88.930582
2013,Naryn,,Non-communicable disease: Chronic respiratory disease,82.313682
2014,Naryn,,Non-communicable disease: Chronic respiratory disease,75.457875
2015,Naryn,,Non-communicable disease: Chronic respiratory disease,63.382832
2016,Naryn,,Non-communicable disease: Chronic respiratory disease,61.918397
2017,Naryn,,Non-communicable disease: Chronic respiratory disease,47.433628
2018,Naryn,,Non-communicable disease: Chronic respiratory disease,40.294324
2019,Naryn,,Non-communicable disease: Chronic respiratory disease,49.60111
2020,Naryn,,Non-communicable disease: Chronic respiratory disease,48.8
2007,Naryn,Male,Non-communicable disease: Chronic respiratory disease,108.712413
2008,Naryn,Male,Non-communicable disease: Chronic respiratory disease,96.227868
2009,Naryn,Male,Non-communicable disease: Chronic respiratory disease,88.820827
2010,Naryn,Male,Non-communicable disease: Chronic respiratory disease,78.787879
2011,Naryn,Male,Non-communicable disease: Chronic respiratory disease,82.335329
2012,Naryn,Male,Non-communicable disease: Chronic respiratory disease,90.976331
2013,Naryn,Male,Non-communicable disease: Chronic respiratory disease,81.081081
2014,Naryn,Male,Non-communicable disease: Chronic respiratory disease,79.422383
2015,Naryn,Male,Non-communicable disease: Chronic respiratory disease,66.381156
2016,Naryn,Male,Non-communicable disease: Chronic respiratory disease,55.712271
2017,Naryn,Male,Non-communicable disease: Chronic respiratory disease,49.442897
2018,Naryn,Male,Non-communicable disease: Chronic respiratory disease,43.38843
2019,Naryn,Male,Non-communicable disease: Chronic respiratory disease,53.851397
2020,Naryn,Male,Non-communicable disease: Chronic respiratory disease,51.3
2007,Naryn,Female,Non-communicable disease: Chronic respiratory disease,102.825746
2008,Naryn,Female,Non-communicable disease: Chronic respiratory disease,107.704403
2009,Naryn,Female,Non-communicable disease: Chronic respiratory disease,88.488645
2010,Naryn,Female,Non-communicable disease: Chronic respiratory disease,88.578089
2011,Naryn,Female,Non-communicable disease: Chronic respiratory disease,74.615385
2012,Naryn,Female,Non-communicable disease: Chronic respiratory disease,86.824067
2013,Naryn,Female,Non-communicable disease: Chronic respiratory disease,83.584337
2014,Naryn,Female,Non-communicable disease: Chronic respiratory disease,71.375465
2015,Naryn,Female,Non-communicable disease: Chronic respiratory disease,60.294118
2016,Naryn,Female,Non-communicable disease: Chronic respiratory disease,68.313953
2017,Naryn,Female,Non-communicable disease: Chronic respiratory disease,45.356371
2018,Naryn,Female,Non-communicable disease: Chronic respiratory disease,37.089872
2019,Naryn,Female,Non-communicable disease: Chronic respiratory disease,45.19774
2020,Naryn,Female,Non-communicable disease: Chronic respiratory disease,46.2
2007,Osh,,Non-communicable disease: Chronic respiratory disease,39.54436
2008,Osh,,Non-communicable disease: Chronic respiratory disease,40.07686
2009,Osh,,Non-communicable disease: Chronic respiratory disease,36.412799
2010,Osh,,Non-communicable disease: Chronic respiratory disease,35.129847
2011,Osh,,Non-communicable disease: Chronic respiratory disease,29.316247
2012,Osh,,Non-communicable disease: Chronic respiratory disease,25.678587
2013,Osh,,Non-communicable disease: Chronic respiratory disease,20.815776
2014,Osh,,Non-communicable disease: Chronic respiratory disease,22.15633
2015,Osh,,Non-communicable disease: Chronic respiratory disease,17.926045
2016,Osh,,Non-communicable disease: Chronic respiratory disease,20.257538
2017,Osh,,Non-communicable disease: Chronic respiratory disease,17.220172
2018,Osh,,Non-communicable disease: Chronic respiratory disease,18.599398
2019,Osh,,Non-communicable disease: Chronic respiratory disease,18.302583
2020,Osh,,Non-communicable disease: Chronic respiratory disease,21.2
2007,Osh,Male,Non-communicable disease: Chronic respiratory disease,43.366409
2008,Osh,Male,Non-communicable disease: Chronic respiratory disease,45.578355
2009,Osh,Male,Non-communicable disease: Chronic respiratory disease,42.560801
2010,Osh,Male,Non-communicable disease: Chronic respiratory disease,39.548023
2011,Osh,Male,Non-communicable disease: Chronic respiratory disease,32.252441
2012,Osh,Male,Non-communicable disease: Chronic respiratory disease,29.431896
2013,Osh,Male,Non-communicable disease: Chronic respiratory disease,22.750084
2014,Osh,Male,Non-communicable disease: Chronic respiratory disease,24.023533
2015,Osh,Male,Non-communicable disease: Chronic respiratory disease,18.654337
2016,Osh,Male,Non-communicable disease: Chronic respiratory disease,21.475257
2017,Osh,Male,Non-communicable disease: Chronic respiratory disease,21.619976
2018,Osh,Male,Non-communicable disease: Chronic respiratory disease,20.569384
2019,Osh,Male,Non-communicable disease: Chronic respiratory disease,19.270073
2020,Osh,Male,Non-communicable disease: Chronic respiratory disease,21.6
2007,Osh,Female,Non-communicable disease: Chronic respiratory disease,35.660941
2008,Osh,Female,Non-communicable disease: Chronic respiratory disease,34.489118
2009,Osh,Female,Non-communicable disease: Chronic respiratory disease,30.165364
2010,Osh,Female,Non-communicable disease: Chronic respiratory disease,30.645161
2011,Osh,Female,Non-communicable disease: Chronic respiratory disease,26.339049
2012,Osh,Female,Non-communicable disease: Chronic respiratory disease,21.871203
2013,Osh,Female,Non-communicable disease: Chronic respiratory disease,18.851902
2014,Osh,Female,Non-communicable disease: Chronic respiratory disease,20.25905
2015,Osh,Female,Non-communicable disease: Chronic respiratory disease,17.185473
2016,Osh,Female,Non-communicable disease: Chronic respiratory disease,19.017433
2017,Osh,Female,Non-communicable disease: Chronic respiratory disease,12.732919
2018,Osh,Female,Non-communicable disease: Chronic respiratory disease,16.588038
2019,Osh,Female,Non-communicable disease: Chronic respiratory disease,17.313433
2020,Osh,Female,Non-communicable disease: Chronic respiratory disease,20.8
2007,Talas,,Non-communicable disease: Chronic respiratory disease,26.044005
2008,Talas,,Non-communicable disease: Chronic respiratory disease,20.444444
2009,Talas,,Non-communicable disease: Chronic respiratory disease,17.135325
2010,Talas,,Non-communicable disease: Chronic respiratory disease,15.190972
2011,Talas,,Non-communicable disease: Chronic respiratory disease,17.55137
2012,Talas,,Non-communicable disease: Chronic respiratory disease,29.064869
2013,Talas,,Non-communicable disease: Chronic respiratory disease,14.498757
2014,Talas,,Non-communicable disease: Chronic respiratory disease,17.529556
2015,Talas,,Non-communicable disease: Chronic respiratory disease,14.440433
2016,Talas,,Non-communicable disease: Chronic respiratory disease,13.823065
2017,Talas,,Non-communicable disease: Chronic respiratory disease,12.062257
2018,Talas,,Non-communicable disease: Chronic respiratory disease,13.016845
2019,Talas,,Non-communicable disease: Chronic respiratory disease,11.680482
2020,Talas,,Non-communicable disease: Chronic respiratory disease,14.1
2007,Talas,Male,Non-communicable disease: Chronic respiratory disease,29.649596
2008,Talas,Male,Non-communicable disease: Chronic respiratory disease,26.642984
2009,Talas,Male,Non-communicable disease: Chronic respiratory disease,21.929825
2010,Talas,Male,Non-communicable disease: Chronic respiratory disease,13.852814
2011,Talas,Male,Non-communicable disease: Chronic respiratory disease,17.902813
2012,Talas,Male,Non-communicable disease: Chronic respiratory disease,36.0134
2013,Talas,Male,Non-communicable disease: Chronic respiratory disease,16.460905
2014,Talas,Male,Non-communicable disease: Chronic respiratory disease,24.271845
2015,Talas,Male,Non-communicable disease: Chronic respiratory disease,13.513514
2016,Talas,Male,Non-communicable disease: Chronic respiratory disease,16.419077
2017,Talas,Male,Non-communicable disease: Chronic respiratory disease,8.474576
2018,Talas,Male,Non-communicable disease: Chronic respiratory disease,9.848485
2019,Talas,Male,Non-communicable disease: Chronic respiratory disease,13.412817
2020,Talas,Male,Non-communicable disease: Chronic respiratory disease,16.9
2007,Talas,Female,Non-communicable disease: Chronic respiratory disease,22.441652
2008,Talas,Female,Non-communicable disease: Chronic respiratory disease,14.234875
2009,Talas,Female,Non-communicable disease: Chronic respiratory disease,12.323944
2010,Talas,Female,Non-communicable disease: Chronic respiratory disease,16.536118
2011,Talas,Female,Non-communicable disease: Chronic respiratory disease,17.196905
2012,Talas,Female,Non-communicable disease: Chronic respiratory disease,22.033898
2013,Talas,Female,Non-communicable disease: Chronic respiratory disease,12.510425
2014,Talas,Female,Non-communicable disease: Chronic respiratory disease,10.682005
2015,Talas,Female,Non-communicable disease: Chronic respiratory disease,15.384615
2016,Talas,Female,Non-communicable disease: Chronic respiratory disease,11.173184
2017,Talas,Female,Non-communicable disease: Chronic respiratory disease,15.72327
2018,Talas,Female,Non-communicable disease: Chronic respiratory disease,16.25387
2019,Talas,Female,Non-communicable disease: Chronic respiratory disease,9.908537
2020,Talas,Female,Non-communicable disease: Chronic respiratory disease,11.3
2007,Chui,,Non-communicable disease: Chronic respiratory disease,38.029059
2008,Chui,,Non-communicable disease: Chronic respiratory disease,32.819742
2009,Chui,,Non-communicable disease: Chronic respiratory disease,24.723568
2010,Chui,,Non-communicable disease: Chronic respiratory disease,21.685559
2011,Chui,,Non-communicable disease: Chronic respiratory disease,24.306828
2012,Chui,,Non-communicable disease: Chronic respiratory disease,19.145093
2013,Chui,,Non-communicable disease: Chronic respiratory disease,16.903073
2014,Chui,,Non-communicable disease: Chronic respiratory disease,13.457077
2015,Chui,,Non-communicable disease: Chronic respiratory disease,12.743202
2016,Chui,,Non-communicable disease: Chronic respiratory disease,14.169363
2017,Chui,,Non-communicable disease: Chronic respiratory disease,14.668856
2018,Chui,,Non-communicable disease: Chronic respiratory disease,13.635388
2019,Chui,,Non-communicable disease: Chronic respiratory disease,11.88848
2020,Chui,,Non-communicable disease: Chronic respiratory disease,10.6
2007,Chui,Male,Non-communicable disease: Chronic respiratory disease,48.906049
2008,Chui,Male,Non-communicable disease: Chronic respiratory disease,41.337076
2009,Chui,Male,Non-communicable disease: Chronic respiratory disease,32.633443
2010,Chui,Male,Non-communicable disease: Chronic respiratory disease,31.09328
2011,Chui,Male,Non-communicable disease: Chronic respiratory disease,30.807453
2012,Chui,Male,Non-communicable disease: Chronic respiratory disease,26.669929
2013,Chui,Male,Non-communicable disease: Chronic respiratory disease,23.289316
2014,Chui,Male,Non-communicable disease: Chronic respiratory disease,18.614515
2015,Chui,Male,Non-communicable disease: Chronic respiratory disease,17.791128
2016,Chui,Male,Non-communicable disease: Chronic respiratory disease,19.030358
2017,Chui,Male,Non-communicable disease: Chronic respiratory disease,20.231214
2018,Chui,Male,Non-communicable disease: Chronic respiratory disease,19.188836
2019,Chui,Male,Non-communicable disease: Chronic respiratory disease,17.513883
2020,Chui,Male,Non-communicable disease: Chronic respiratory disease,14.7
2007,Chui,Female,Non-communicable disease: Chronic respiratory disease,27.543424
2008,Chui,Female,Non-communicable disease: Chronic respiratory disease,24.606299
2009,Chui,Female,Non-communicable disease: Chronic respiratory disease,17.089844
2010,Chui,Female,Non-communicable disease: Chronic respiratory disease,12.596899
2011,Chui,Female,Non-communicable disease: Chronic respiratory disease,18.020183
2012,Chui,Female,Non-communicable disease: Chronic respiratory disease,11.853959
2013,Chui,Female,Non-communicable disease: Chronic respiratory disease,10.710128
2014,Chui,Female,Non-communicable disease: Chronic respiratory disease,8.45521
2015,Chui,Female,Non-communicable disease: Chronic respiratory disease,7.845774
2016,Chui,Female,Non-communicable disease: Chronic respiratory disease,9.452627
2017,Chui,Female,Non-communicable disease: Chronic respiratory disease,9.273237
2018,Chui,Female,Non-communicable disease: Chronic respiratory disease,8.248731
2019,Chui,Female,Non-communicable disease: Chronic respiratory disease,6.427535
2020,Chui,Female,Non-communicable disease: Chronic respiratory disease,6.7
2007,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,11.984836
2008,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,9.18651
2009,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,8.695652
2010,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,7.619271
2011,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,6.80429
2012,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,7.00961
2013,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,4.861341
2014,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,6.475985
2015,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,5.169322
2016,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,4.84836
2017,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,4.338176
2018,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,5.026116
2019,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,5.093215
2020,Bishkek (city),,Non-communicable disease: Chronic respiratory disease,6.4
2007,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,16.837674
2008,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,13.552254
2009,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,13.36074
2010,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,11.619096
2011,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,9.932953
2012,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,9.727626
2013,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,6.410256
2014,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,10.423905
2015,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,7.459313
2016,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,6.401766
2017,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,7.333909
2018,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,7.368421
2019,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,7.583521
2020,Bishkek (city),Male,Non-communicable disease: Chronic respiratory disease,9.0
2007,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,7.769653
2008,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,5.41028
2009,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,4.663558
2010,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,4.155731
2011,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,4.091301
2012,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,4.648215
2013,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,3.513123
2014,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,3.031528
2015,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,3.165183
2016,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,3.48567
2017,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,1.705838
2018,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,2.96461
2019,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,2.89488
2020,Bishkek (city),Female,Non-communicable disease: Chronic respiratory disease,4.1
2007,Osh (city),,Non-communicable disease: Chronic respiratory disease,23.800234
2008,Osh (city),,Non-communicable disease: Chronic respiratory disease,23.300971
2009,Osh (city),,Non-communicable disease: Chronic respiratory disease,22.041763
2010,Osh (city),,Non-communicable disease: Chronic respiratory disease,17.087379
2011,Osh (city),,Non-communicable disease: Chronic respiratory disease,12.900704
2012,Osh (city),,Non-communicable disease: Chronic respiratory disease,15.110422
2013,Osh (city),,Non-communicable disease: Chronic respiratory disease,8.371385
2014,Osh (city),,Non-communicable disease: Chronic respiratory disease,10.085917
2015,Osh (city),,Non-communicable disease: Chronic respiratory disease,9.89011
2016,Osh (city),,Non-communicable disease: Chronic respiratory disease,11.119082
2017,Osh (city),,Non-communicable disease: Chronic respiratory disease,12.964261
2018,Osh (city),,Non-communicable disease: Chronic respiratory disease,7.140428
2019,Osh (city),,Non-communicable disease: Chronic respiratory disease,11.111111
2020,Osh (city),,Non-communicable disease: Chronic respiratory disease,11.3
2007,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,33.360456
2008,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,32.388664
2009,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,29.79066
2010,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,19.417476
2011,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,17.944535
2012,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,16.962843
2013,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,11.084719
2014,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,10.085337
2015,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,11.398176
2016,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,15.601783
2017,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,16.678753
2018,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,9.129213
2019,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,14.834794
2020,Osh (city),Male,Non-communicable disease: Chronic respiratory disease,14.9
2007,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,14.992504
2008,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,14.925373
2009,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,14.880952
2010,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,14.93652
2011,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,8.258258
2012,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,13.402829
2013,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,5.860806
2014,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,10.086455
2015,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,8.486563
2016,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,6.934813
2017,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,9.491525
2018,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,5.273566
2019,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,7.609385
2020,Osh (city),Female,Non-communicable disease: Chronic respiratory disease,8.0
